Season,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,Age,G,AB,H,HR,R,RBI,BB,IBB,SB,Bat,Fld,Rep,Pos,WAR,WPA,RE24,REW,pLI,WPA/LI,Clutch,BsR,Def,Off,Lg,OBP+,ISO+,BABIP+,LA,Barrels,Barrel%,HardHit,HardHit%,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID,from,to,name,pos,yrs,total,aav,mlb_contract,Starting Year,Contract Year,first_name,last_name,mlbam_id
2016,Victor Martinez,DET,610,0.081967213,0.147540983,0.555555555,0.289330922,0.350819672,0.475587703,0.826407375,0.186256781,0.815671346,0.302961275,-10.2791853,-0.352280671,88.25916630787101,16.398427389685786,0.3506987870135576,120.22071945530269,37,154,553,160,27,65,86,50,8,0,14.809496380512392,-0.36127755,18.404903914779425,-15.28463554,0.9405119475343008,-0.600122213,3.4180002212524414,0.3628585040569305,1.0207605361938477,0.2607179284095764,-0.848634675,-10.63146597,-15.64591309,4.178030413931957,2.2596013615839183,109.02770807427672,111.9261552665304,101.43536972811089,15.467532467532468,39,0.08369099,195,0.41845494,0.5050218370225694,0.3627815119000183,Victor Martinez,393,400121,,,,,,,,,,,,,
2017,Victor Martinez,DET,435,0.08275862,0.144827586,0.571428571,0.25510204,0.324137931,0.372448979,0.69658691,0.117346939,0.9067460275,0.280373831,-3.907907724,-0.283707835,46.42431387898045,-6.589367816,0.3029373605494146,85.38559472789186,38,107,392,100,10,38,47,36,3,0,-7.843596914,0.0,13.445027684792876,-11.23456764,-0.883615579,-0.482941955,-16.58799934,-1.626588106,0.990151345729828,-1.125816703,0.6380711097970176,-4.191615559,-11.23456764,-12.03521247,0.9465577884111552,99.88786458378092,67.57334366710043,94.12683007,13.230061349693251,18,0.05438066,114,0.34441088,0.4409871052220924,0.3342918324693341,Victor Martinez,393,400121,,,,,,,,,,,,,
2018,Victor Martinez,DET,508,0.062992125,0.096456692,0.653061224,0.250535331,0.297244094,0.353319057,0.650563151,0.102783726,0.544642853,0.259615384,-3.442054033,-0.286502329,45.481375044205706,-13.86884343,0.2812233741084735,73.08032299383666,39,133,467,117,9,32,54,32,4,0,-16.34809723,0.0,15.199799343943596,-13.29560947,-1.647980739,-2.003329992,-24.29299927,-2.426210403,1.0903807878494265,-1.78802526,-0.049250318,-3.728556362,-13.29560947,-20.07665359,2.163226425647736,93.25402737171808,61.61789210044587,88.22782601675753,14.09692671394799,20,0.04705882,130,0.30588235,0.4061845443791074,0.3132747399878075,Victor Martinez,393,400121,,,,,,,,,,,,,
2016,Juan Uribe,CLE,259,0.057915057,0.189189189,0.306122448,0.205882352,0.258687258,0.331932773,0.590620031,0.126050421,0.8336466087500001,0.227027027,-0.398934007,-0.112191297,17.279803130081003,-13.23155979,0.2562084112518517,51.57900031438608,37,73,238,49,7,19,25,15,1,0,-15.05730913,1.5160099267959597,7.814541170373559,0.8379054665565491,-0.454124572,-0.946362257,-11.07999992,-1.119878411,0.8960214853286743,-0.97686547,-0.079317079,-0.511125303,2.3539153933525085,-15.56843444,0.9594045125413686,80.39480422226465,75.74671330896415,76.01159726443194,10.052083333333334,14,0.07291667,72,0.375,0.4191890684496455,0.3231600680092508,Juan Uribe,454,346874,,,,,,,,,,,,,
2016,Carlos Beltrán,- - -,593,0.059021922,0.170320404,0.346534653,0.295289855,0.337268128,0.512681159,0.849949287,0.217391304,1.8121498362164243,0.31455399,-2.799371064,-0.100672672,89.49094237491981,19.63287978724138,0.358216147,122.29443762301156,39,151,552,163,29,73,93,35,4,1,15.87322112277643,-2.989492536,17.891980363056064,-10.51954651,1.9996028438731028,1.7319681346416471,21.23099994659424,2.160327225923538,1.0000440575859764,2.1078331768512726,-0.375941345,-2.900043736,-13.50903904,12.973177387030136,2.196628864621744,104.81616024403776,130.63563519429883,105.31676135477584,12.512249443207129,31,0.06813187,175,0.38461538,0.43465083259987,0.3208951950073242,Carlos Beltran,589,136860,TEX,HOU,Carlos Beltrán,DH/RF,1.0,16000000.0,16000000.0,1.0,2017.0,2016.0,Carlos,Beltrán,136860.0
2017,Carlos Beltrán,HOU,509,0.064833005,0.200392927,0.323529411,0.231263383,0.282907662,0.383297644,0.666205306,0.152034261,1.781636665,0.263305322,-1.805733085,-0.248244355,45.92301076,-16.10909035,0.2833842504401452,76.44646165931252,40,129,467,108,14,60,51,33,3,0,-14.79172433,-0.229661614,15.732227796688676,-12.03189278,-1.220935976,-1.116793394,-15.27499962,-1.56974721,0.8917403221130371,-0.965955555,-0.286419566,-2.05397744,-12.26155439,-16.84570177,1.107581412186846,87.18215157,87.54777461836177,88.39660681705864,13.4177897574124,17,0.0458221,116,0.31266846,0.3685481788259502,0.2827973922880569,Carlos Beltran,589,136860,TEX,HOU,Carlos Beltrán,DH/RF,1.0,16000000.0,16000000.0,1.0,2017.0,2016.0,Carlos,Beltrán,136860.0
2016,Brandon Barnes,COL,109,0.027522935,0.275229357,0.1,0.22,0.25,0.32,0.57,0.1,5.875300089,0.314285714,0.8905457258224487,-0.659852117,6.438499087108284,-6.402190326,0.2469392046332359,33.08806621815628,30,48,100,22,0,10,8,3,0,1,-8.982491879,3.289215564727783,3.288745125755668,-0.71902144,-0.278092615,-0.85138607,-6.78000021,-0.657976329,1.0066423416137695,-0.784563065,-0.061205124,0.2306936089880764,2.570194125175476,-8.75179827,0.173581677256152,75.71924458106861,60.64796365434613,103.1514543368698,14.66153846153846,6,0.08,20,0.26666667,0.4118125041325887,0.2930474472045898,Brandon Barnes,629,488681,,,,,,,,,,,,,
2016,Adrian Beltré,TEX,640,0.075,0.103125,0.727272727,0.300171526,0.3578125,0.521440823,0.879253323,0.221269297,2.109044635971577,0.293032786,-1.665973544,-0.566499947,103.46225677125446,28.06738315217488,0.3712676441067777,127.19952366163648,37,153,583,175,32,89,104,48,6,1,20.900425296950264,9.319499969482422,19.310063123703003,0.7938950061798096,5.160616772387086,3.948057174682617,29.16399955749512,2.8602516651153564,1.0072029829025269,2.0679187774658203,1.8519039809073,-2.232473491,10.113394975662231,18.667951805957703,2.370729297399521,111.20093857030668,132.96601368697566,98.11118265979172,14.5,44,0.08461538,210,0.40384615,0.5089999974700453,0.365981207953559,Adrian Beltre,639,134181,,,,,,,,,,,,,
2017,Adrian Beltré,TEX,389,0.100257069,0.133676092,0.75,0.311764705,0.383033419,0.532352941,0.91538636,0.220588236,2.347121581,0.321299638,-2.832368135,-0.071042303,68.21145012997009,20.80381293617107,0.3842616883667248,133.0807585837902,38,94,340,106,17,47,71,39,2,1,15.877054102941528,1.9614849090576167,12.023254642263057,-2.077618122,2.560540695781827,2.346454144,26.857999801635746,2.632328987121582,0.9759970903396606,1.6187877655029297,0.7853732373824078,-2.903410439,-0.116133213,12.973643664027676,0.8464620222803205,118.03737430573842,127.0240605095584,107.86640222467388,12.493150684931509,17,0.05782313,95,0.32312925,0.4657248322074935,0.3577668821656858,Adrian Beltre,639,134181,,,,,,,,,,,,,
2018,Adrian Beltré,TEX,481,0.07068607,0.199584199,0.354166666,0.272517321,0.328482328,0.434180138,0.762662466,0.161662817,2.337060314610844,0.312121212,-1.378161907,-0.086502326,60.99689994,4.801122209862259,0.3269246720819732,97.13303255415408,39,119,433,118,15,49,65,34,2,1,-1.648547606,1.6123361587524414,14.391935992985964,-3.746570826,1.152173692164278,-0.859435916,1.329000711,0.1151792630553245,1.0010074377059937,-0.008830226,-0.849740733,-1.464664233,-2.134234667,-3.113211839,2.0482517927885056,103.05436045581338,96.91536201519028,106.07143368851936,13.633720930232558,22,0.06376812,129,0.37391304,0.4316921234130859,0.3281632108169619,Adrian Beltre,639,134181,,,,,,,,,,,,,
