n_teams_interested,n_rumor_mentions,has_big_market_interest,first_rumor_doy,rumor_intensity,mlbam_id,contract_year
0,1,0,365,0,543459,2016
0,0,0,365,0,543148,2016
0,0,0,365,0,488810,2016
0,1,0,365,0,506997,2016
0,0,0,365,0,501983,2016
0,2,0,365,0,461858,2016
0,2,0,365,0,534627,2016
0,1,0,365,0,489138,2016
0,2,0,365,0,456078,2016
0,0,0,365,0,541600,2016
0,2,0,365,0,446868,2016
0,0,0,365,0,519025,2016
0,0,0,365,0,553902,2016
0,4,0,365,0,467092,2016
0,0,0,365,0,592144,2016
0,0,0,365,0,542897,2016
0,4,0,365,0,628450,2016
0,0,0,365,0,493316,2016
0,0,0,365,0,595025,2016
0,0,0,365,0,543059,2016
0,0,0,365,0,454560,2017
0,1,0,365,0,452252,2017
0,2,0,365,0,446192,2017
1,1,0,365,1,489267,2017
0,0,0,365,0,408236,2017
0,0,0,365,0,518545,2017
1,1,0,365,1,444876,2017
0,1,0,365,0,457477,2017
0,0,0,365,0,593700,2017
1,6,1,365,6,488671,2017
0,0,0,365,0,502100,2017
0,0,0,365,0,506560,2017
1,4,0,365,4,501800,2017
0,0,0,365,0,433217,2017
0,0,0,365,0,451188,2017
0,2,0,365,0,571685,2017
0,0,0,365,0,489232,2017
0,2,0,365,0,457706,2017
0,0,0,365,0,519184,2017
0,3,0,365,0,435064,2017
0,1,0,365,0,408252,2017
0,0,0,365,0,474319,2017
0,2,0,365,0,430910,2017
0,0,0,365,0,518649,2017
0,0,0,365,0,592407,2017
0,1,0,365,0,457727,2017
0,0,0,365,0,519237,2017
0,2,0,365,0,460576,2017
2,2,1,365,4,471865,2017
4,5,1,365,20,467793,2017
0,0,0,365,0,527049,2017
0,0,0,365,0,400284,2017
0,0,0,365,0,488818,2017
0,0,0,365,0,452080,2017
0,0,0,365,0,458689,2017
0,0,0,365,0,460269,2017
0,0,0,365,0,502317,2017
0,3,0,365,0,543302,2017
0,1,0,365,0,455104,2017
0,1,0,365,0,455126,2017
0,0,0,365,0,455755,2017
3,17,1,365,51,432934,2017
0,0,0,365,0,542194,2017
0,0,0,365,0,518568,2017
0,0,0,365,0,460060,2017
0,0,0,365,0,458675,2017
0,0,0,365,0,502261,2017
0,0,0,365,0,518577,2017
0,0,0,365,0,543377,2017
0,0,0,365,0,502226,2017
0,0,0,365,0,542436,2017
0,0,0,365,0,434158,2017
0,0,0,365,0,537953,2017
0,0,0,365,0,621002,2017
0,0,0,365,0,457787,2017
0,0,0,365,0,502143,2017
0,0,0,365,0,446381,2017
0,1,0,365,0,519083,2017
0,0,0,365,0,456781,2017
0,0,0,365,0,543482,2017
0,0,0,365,0,543038,2017
0,0,0,365,0,456488,2017
0,0,0,365,0,519068,2017
0,0,0,365,0,466988,2017
0,0,0,365,0,493472,2017
0,0,0,365,0,518700,2017
0,5,0,365,0,543333,2017
0,0,0,365,0,519299,2017
0,0,0,365,0,430947,2017
0,0,0,365,0,456124,2017
0,1,0,365,0,516811,2017
0,0,0,365,0,485567,2017
0,2,0,365,0,516472,2017
0,2,0,365,0,506747,2017
0,0,0,365,0,493596,2017
1,7,0,365,7,463610,2017
0,0,0,365,0,453923,2017
0,0,0,365,0,593643,2017
0,1,0,365,0,592656,2017
0,0,0,365,0,435062,2017
0,0,0,365,0,516949,2017
0,1,0,365,0,400085,2017
2,2,1,365,4,622668,2017
0,0,0,365,0,543776,2017
2,10,1,365,20,502110,2017
0,0,0,365,0,607054,2017
0,0,0,365,0,543094,2017
0,0,0,365,0,518653,2017
0,0,0,365,0,502481,2017
0,0,0,365,0,457454,2017
0,4,0,365,0,457803,2017
0,1,0,365,0,150029,2017
0,1,0,365,0,543079,2017
0,0,0,365,0,110073,2017
0,0,0,365,0,519345,2017
0,0,0,365,0,543213,2017
5,12,1,365,60,445055,2017
0,3,0,365,0,518960,2017
0,0,0,365,0,457574,2017
0,0,0,365,0,457788,2017
0,0,0,365,0,446653,2017
0,0,0,365,0,628336,2017
0,1,0,365,0,408314,2017
0,0,0,365,0,489365,2017
0,1,0,365,0,110713,2017
0,0,0,365,0,492802,2017
0,1,0,365,0,516809,2017
0,0,0,365,0,543321,2017
0,4,0,365,0,572669,2017
2,10,1,365,20,547982,2017
2,4,0,365,8,489149,2017
0,2,0,365,0,456715,2017
0,4,0,365,0,446263,2017
0,0,0,365,0,434682,2017
0,0,0,365,0,596143,2017
0,2,0,365,0,448602,2017
0,3,0,365,0,592863,2017
0,4,0,365,0,571431,2017
0,0,0,365,0,407812,2017
0,0,0,365,0,473724,2017
0,0,0,365,0,605474,2017
0,0,0,365,0,544925,2017
0,1,0,365,0,466320,2017
0,0,0,365,0,492841,2017
0,0,0,365,0,459431,2017
0,0,0,365,0,471083,2017
0,0,0,365,0,502273,2017
0,1,0,365,0,519058,2017
0,1,0,365,0,435063,2017
0,0,0,365,0,592609,2017
0,0,0,365,0,519048,2017
0,0,0,365,0,501213,2017
0,0,0,365,0,435522,2017
0,0,0,365,0,502544,2017
0,0,0,365,0,545338,2017
0,0,0,365,0,460026,2017
0,0,0,365,0,605361,2017
0,0,0,365,0,519082,2017
0,0,0,365,0,592348,2017
0,0,0,365,0,623182,2017
0,0,0,365,0,476883,2017
0,0,0,365,0,465753,2017
0,0,0,365,0,518902,2017
0,0,0,365,0,488721,2017
0,0,0,365,0,594838,2017
0,0,0,365,0,450641,2017
0,1,0,365,0,622441,2017
0,7,0,365,0,434658,2017
0,0,0,365,0,570717,2017
0,0,0,365,0,458582,2017
0,0,0,365,0,425784,2017
0,0,0,365,0,572128,2017
0,0,0,365,0,542963,2017
0,3,0,365,0,502570,2017
0,0,0,365,0,500135,2017
0,1,0,365,0,594011,2017
0,0,0,365,0,514913,2017
0,9,0,365,0,606956,2017
0,0,0,365,0,475247,2017
0,0,0,365,0,572365,2017
0,0,0,365,0,452672,2017
0,1,0,365,0,534606,2017
0,0,0,365,0,543432,2017
0,0,0,365,0,542642,2017
0,0,0,365,0,475100,2017
0,0,0,365,0,453203,2017
0,0,0,365,0,571761,2017
0,0,0,365,0,543459,2017
0,7,0,365,0,543089,2017
0,0,0,365,0,605227,2017
0,0,0,365,0,605253,2017
0,0,0,365,0,543148,2017
0,0,0,365,0,453943,2017
0,0,0,365,0,488810,2017
0,0,0,365,0,573113,2017
0,1,0,365,0,506997,2017
0,0,0,365,0,461858,2017
0,0,0,365,0,488912,2017
2,1,0,365,2,571841,2017
0,0,0,365,0,595963,2017
0,0,0,365,0,677551,2017
2,2,1,365,4,456078,2017
2,2,1,365,4,446868,2017
0,0,0,365,0,519025,2017
0,1,0,365,0,553902,2017
0,0,0,365,0,592144,2017
0,0,0,365,0,592680,2017
0,1,0,365,0,475174,2017
0,1,0,365,0,446359,2017
0,0,0,365,0,591712,2017
0,1,0,365,0,572041,2018
0,0,0,365,0,501659,2018
0,2,0,365,0,430945,2018
0,1,0,365,0,446192,2018
0,0,0,365,0,489267,2018
0,0,0,365,0,588751,2018
0,1,0,365,0,444876,2018
1,6,1,365,6,501800,2018
0,0,0,365,0,433217,2018
0,1,0,365,0,457705,2018
0,1,0,365,0,461865,2018
0,0,0,365,0,542992,2018
0,1,0,365,0,571685,2018
0,0,0,365,0,570489,2018
0,0,0,365,0,606157,2018
0,2,0,365,0,452678,2018
0,0,0,365,0,541645,2018
0,2,0,365,0,607333,2018
0,0,0,365,0,519184,2018
0,0,0,365,0,571740,2018
0,1,0,365,0,435064,2018
0,0,0,365,0,120719,2018
0,4,0,365,0,543543,2018
0,0,0,365,0,446386,2018
0,0,0,365,0,474319,2018
0,0,0,365,0,543434,2018
0,0,0,365,0,592592,2018
0,1,0,365,0,572821,2018
0,1,0,365,0,435263,2018
